"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\README.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 33, 72
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\craco.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\package-lock.json", "JSON", 0, 0, 15222, 0, 0, 0, 0, 1, 15223
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\package.json", "JSON", 0, 0, 50, 0, 0, 0, 0, 1, 51
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\public\index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 5, 28
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\App.js", "JavaScript", 285, 0, 0, 0, 0, 0, 0, 50, 335
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\Connect.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\Connnect.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\Form.svg", "XML", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\Money.svg", "XML", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\zipCodes.js", "JavaScript", 33101, 0, 0, 0, 0, 0, 0, 0, 33101
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\Assets\zipcode-data.json", "JSON", 0, 0, 198596, 0, 0, 0, 0, 0, 198596
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\LandingPage.css", "CSS", 0, 0, 0, 123, 0, 0, 0, 39, 162
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\LandingPage.jsx", "JavaScript", 185, 0, 0, 0, 0, 0, 0, 60, 245
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\NavBar.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\ActiveLicense.jsx", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 41, 119
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\CarMake.jsx", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 61, 174
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\CarModel.jsx", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 42, 142
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\CarYear.jsx", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 62, 177
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\CoverageLevel.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 48, 122
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Credit.jsx", "JavaScript", 75, 0, 0, 0, 0, 0, 1, 37, 113
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\CurrentInsurer.jsx", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 50, 131
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Education.jsx", "JavaScript", 76, 0, 0, 0, 0, 0, 1, 43, 120
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Gender.jsx", "JavaScript", 71, 0, 0, 0, 0, 0, 1, 41, 113
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\HasInsurance.jsx", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 39, 109
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Married.jsx", "JavaScript", 75, 0, 0, 0, 0, 0, 1, 43, 119
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Mileage.jsx", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 48, 121
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\Ownership.jsx", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 48, 122
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\PrimaryUse.jsx", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 45, 120
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\SR22.jsx", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 40, 117
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\TicketsClaims.jsx", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 40, 116
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\components\forms.css", "CSS", 0, 0, 0, 110, 0, 0, 0, 45, 155
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\index.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 4, 20
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Owner\Desktop\Quotehound-Auto-v2\tailwind.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 1, 2, 16
"Total", "-", 34949, 39, 213893, 281, 75, 23, 13, 994, 250267